contrast_id,contrast_label,block_length,observed_difference,bootstrap_median,diagnostic_q025,diagnostic_q975,frequency_with_observed_sign,B,interpretation
dmc_minus_cmur_territorial,DMC − CMUR | territorial,2,0.3144078144078144,0.31929181929181927,0.1611721611721612,0.4761904761904762,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
dmc_minus_cmur_consumption,DMC − CMUR | consumption,2,0.38766788766788773,0.38949938949938945,0.27045177045177043,0.5512820512820513,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_dmc_territorial,RMC − DMC | territorial,2,0.1300366300366299,0.12881562881562886,-0.01892551892551897,0.23872100122100104,0.9592,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_dmc_consumption,RMC − DMC | consumption,2,0.21611721611721607,0.21550671550671552,0.09035409035409037,0.28998778998779,0.9991,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_cmur_territorial,RMC − CMUR | territorial,2,0.4444444444444443,0.43894993894993894,0.32112332112332115,0.5806013431013429,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_cmur_consumption,RMC − CMUR | consumption,2,0.6037851037851037,0.6025641025641026,0.48046398046398053,0.7271214896214894,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_cmur,Consumption − territorial | CMUR,2,-0.007936507936507922,-0.004884004884004874,-0.0806013431013431,0.08302808302808302,0.5543,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_dmc,Consumption − territorial | DMC,2,0.06532356532356537,0.06288156288156288,-0.014652014652014655,0.20695970695970695,0.9388,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_rmc,Consumption − territorial | RMC,2,0.15140415140415153,0.15506715506715504,0.07875457875457881,0.25213675213675213,0.9991,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
dmc_minus_cmur_territorial,DMC − CMUR | territorial,3,0.3144078144078144,0.3199023199023199,0.17214590964590967,0.4798534798534798,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
dmc_minus_cmur_consumption,DMC − CMUR | consumption,3,0.38766788766788773,0.39560439560439564,0.27594627594627597,0.5451770451770452,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_dmc_territorial,RMC − DMC | territorial,3,0.1300366300366299,0.1318681318681319,-0.03785103785103783,0.23933150183150165,0.9462,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_dmc_consumption,RMC − DMC | consumption,3,0.21611721611721607,0.2148962148962149,0.07570207570207577,0.2881715506715505,0.9989,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_cmur_territorial,RMC − CMUR | territorial,3,0.4444444444444443,0.4426129426129426,0.3235653235653236,0.5708180708180708,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
rmc_minus_cmur_consumption,RMC − CMUR | consumption,3,0.6037851037851037,0.6043956043956044,0.48778998778998783,0.7203907203907204,1.0,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_cmur,Consumption − territorial | CMUR,3,-0.007936507936507922,-0.0030525030525030555,-0.07814407814407814,0.09096459096459096,0.5314,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_dmc,Consumption − territorial | DMC,3,0.06532356532356537,0.06593406593406592,-0.015873015873015872,0.21245421245421242,0.9426,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
consumption_minus_territorial_rmc,Consumption − territorial | RMC,3,0.15140415140415153,0.15567765567765568,0.07448107448107455,0.25579975579975583,0.9983,10000,Paired within-draw difference under the joint residual-block bootstrap; diagnostic ranges are not confidence intervals.
