panel,object_id,object_label,block_length,observed_value,bootstrap_median,diagnostic_q025,diagnostic_q975,frequency_with_observed_sign,metric,interpretation
A_cellwise,a_CMUR_TERR,CMUR × territorial,2,0.0921855921855921,0.1135531135531135,-0.0036630036630036,0.1929181929181929,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,b_DMC_TERR,DMC × territorial,2,0.4065934065934066,0.4133089133089133,0.28998778998779,0.6135531135531136,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,c_RMC_TERR,RMC × territorial,2,0.5366300366300365,0.5439560439560439,0.4468864468864469,0.6788766788766789,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,d_CMUR_CFOOT,CMUR × consumption,2,0.0842490842490842,0.1077533577533577,0.0042735042735042,0.1904761904761904,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,e_DMC_CFOOT,DMC × consumption,2,0.4719169719169719,0.4938949938949939,0.3998778998778999,0.6465201465201466,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,f_RMC_CFOOT,RMC × consumption,2,0.688034188034188,0.7087912087912088,0.6190476190476191,0.8021978021978022,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,a_CMUR_TERR,CMUR × territorial,3,0.0921855921855921,0.1111111111111111,-0.0054945054945054,0.1971916971916971,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,b_DMC_TERR,DMC × territorial,3,0.4065934065934066,0.4108669108669108,0.2863247863247863,0.6349358974358972,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,c_RMC_TERR,RMC × territorial,3,0.5366300366300365,0.5433455433455433,0.4462759462759463,0.6770451770451771,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
A_cellwise,d_CMUR_CFOOT,CMUR × consumption,3,0.0842490842490842,0.1068376068376068,0.0091575091575091,0.1892551892551892,,Spearman rho,These diagnostics perturb the temporal residual structure conditional on the disseminated series and fitted trend specification; they do not propagate uncertainty from the upstream statistical-production models used to construct model-assisted footprint series.
